timestamp,zone,flow_rate,pressure
2024-06-01 00:00,A1,15.51,3.0
2024-06-01 01:00,A1,13.98,2.89
2024-06-01 02:00,A1,14.93,2.91
2024-06-01 03:00,A1,16.3,3.0
2024-06-01 04:00,A1,15.19,2.89
2024-06-01 05:00,A1,13.35,2.96
2024-06-01 06:00,A1,15.69,2.92
2024-06-01 07:00,A1,14.47,2.99
2024-06-01 08:00,A1,14.01,2.92
2024-06-01 09:00,A1,12.84,2.91
2024-06-01 10:00,A1,14.06,2.93
2024-06-01 11:00,A1,14.89,2.89
2024-06-01 12:00,A1,14.21,2.9
2024-06-01 13:00,A1,12.95,2.96
2024-06-01 14:00,A1,12.66,2.97
2024-06-01 15:00,A1,15.59,2.93
2024-06-01 16:00,A1,13.88,2.94
2024-06-01 17:00,A1,14.8,2.94
2024-06-01 18:00,A1,15.71,2.87
2024-06-01 19:00,A1,12.49,3.03
2024-06-01 20:00,A1,15.21,2.94
2024-06-01 21:00,A1,13.26,2.92
2024-06-01 22:00,A1,14.79,2.83
2024-06-01 23:00,A1,15.6,2.86
2024-06-02 00:00,A1,15.44,2.9
2024-06-02 01:00,A1,12.37,2.82
2024-06-02 02:00,A1,12.9,2.92
2024-06-02 03:00,A1,14.2,2.89
2024-06-02 04:00,A1,13.75,2.91
2024-06-02 05:00,A1,14.09,2.96
2024-06-02 06:00,A1,12.98,2.87
2024-06-02 07:00,A1,14.68,2.96
2024-06-02 08:00,A1,14.0,2.84
2024-06-02 09:00,A1,15.96,2.96
2024-06-02 10:00,A1,15.09,3.01
2024-06-02 11:00,A1,12.91,2.92
2024-06-02 12:00,A1,13.27,2.88
2024-06-02 13:00,A1,15.16,2.94
2024-06-02 14:00,A1,14.77,2.85
2024-06-02 15:00,A1,13.12,2.85
2024-06-02 16:00,A1,13.73,2.86
2024-06-02 17:00,A1,14.56,2.96
2024-06-02 18:00,A1,14.44,2.97
2024-06-02 19:00,A1,13.65,2.93
2024-06-02 20:00,A1,14.02,2.9
2024-06-02 21:00,A1,13.03,2.96
2024-06-02 22:00,A1,13.77,2.92
2024-06-02 23:00,A1,13.9,3.02
2024-06-03 00:00,A1,15.03,2.94
2024-06-03 01:00,A1,15.37,2.96
2024-06-03 02:00,A1,14.54,2.98
